% Datos para graficar en MATLAB
% Columna 1: valores de n
% Columna 2: valores de e·log(n)
% Columna 3: valores de n
1.000000 0.000000 1.000000
1.100000 0.259080 1.100000
1.200000 0.495601 1.200000
1.300000 0.713180 1.300000
1.400000 0.914626 1.400000
1.500000 1.102168 1.500000
1.600000 1.277602 1.600000
1.700000 1.442397 1.700000
1.800000 1.597770 1.800000
1.900000 1.744740 1.900000
2.000000 1.884169 2.000000
2.100000 2.016795 2.100000
2.200000 2.143249 2.200000
2.300000 2.264082 2.300000
2.400000 2.379771 2.400000
2.500000 2.490736 2.500000
2.600000 2.597349 2.600000
2.700000 2.699938 2.700000
2.800000 2.798796 2.800000
2.900000 2.894184 2.900000
3.000000 2.986338 3.000000
3.100000 3.075470 3.100000
3.200000 3.161772 3.200000
3.300000 3.245418 3.300000
3.400000 3.326567 3.400000
3.500000 3.405363 3.500000
3.600000 3.481939 3.600000
3.700000 3.556417 3.700000
3.800000 3.628909 3.800000
3.900000 3.699518 3.900000
4.000000 3.768339 4.000000
4.100000 3.835460 4.100000
4.200000 3.900964 4.200000
4.300000 3.964927 4.300000
4.400000 4.027419 4.400000
4.500000 4.088506 4.500000
4.600000 4.148251 4.600000
4.700000 4.206711 4.700000
4.800000 4.263940 4.800000
4.900000 4.319989 4.900000
5.000000 4.374906 5.000000
5.100000 4.428735 5.100000
6.100000 4.915439 6.100000
7.100000 5.328090 7.100000
8.100000 5.686276 8.100000
9.100000 6.002712 9.100000
